Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
National,Job Title,2017-06,Certified Nursing Assistant,Median Base Pay,28011.0,0.038,6,2017
National,Job Title,2017-06,Customer Service Representative,Median Base Pay,35951.0,0.027000000000000003,6,2017
National,Job Title,2017-06,Delivery Driver,Median Base Pay,38660.0,0.043,6,2017
National,Job Title,2017-06,Financial Advisor,Median Base Pay,53522.0,-0.012,6,2017
National,Job Title,2017-06,Licensed Practical Nurse,Median Base Pay,41399.0,0.021,6,2017
National,Job Title,2017-06,Loan Officer,Median Base Pay,44306.0,-0.053,6,2017
National,Job Title,2017-06,Maintenance Technician,Median Base Pay,43674.0,0.006999999999999999,6,2017
National,Job Title,2017-06,Material Handler,Median Base Pay,34000.0,-0.002,6,2017
National,Job Title,2017-06,Network Engineer,Median Base Pay,68809.0,-0.022000000000000002,6,2017
National,Job Title,2017-06,Office Manager,Median Base Pay,45920.0,-0.006,6,2017
National,Job Title,2017-06,Pharmacist,Median Base Pay,124391.0,-0.016,6,2017
National,Job Title,2017-06,Process Engineer,Median Base Pay,77502.0,0.024,6,2017
National,Job Title,2017-06,Program Manager,Median Base Pay,76055.0,0.015,6,2017
National,Job Title,2017-06,Research Assistant,Median Base Pay,30810.0,0.031,6,2017
National,Job Title,2017-06,Restaurant Manager,Median Base Pay,49274.0,0.025,6,2017
National,Job Title,2017-06,Security Officer,Median Base Pay,34973.0,0.036000000000000004,6,2017
National,Job Title,2017-06,Server,Median Base Pay,34009.0,0.036000000000000004,6,2017
National,Job Title,2017-06,Solutions Architect,Median Base Pay,102637.0,-0.004,6,2017
National,Job Title,2017-06,Systems Engineer,Median Base Pay,78042.0,0.033,6,2017
National,Job Title,2017-06,Technical Support,Median Base Pay,45229.0,0.004,6,2017
National,Job Title,2017-06,UX Designer,Median Base Pay,78958.0,0.04,6,2017
Atlanta,Job Title,2017-06,Software Engineer,Median Base Pay,84308.0,0.02,6,2017
Atlanta,Job Title,2017-06,Programmer Analyst,Median Base Pay,72425.0,0.018000000000000002,6,2017
Atlanta,Job Title,2017-06,Consultant,Median Base Pay,82699.0,-0.002,6,2017
Atlanta,Job Title,2017-06,Project Manager,Median Base Pay,77136.0,-0.004,6,2017
Atlanta,Job Title,2017-06,Store Manager,Median Base Pay,50174.0,0.02,6,2017
Atlanta,Job Title,2017-06,Business Analyst,Median Base Pay,71054.0,0.015,6,2017
Atlanta,Job Title,2017-06,Cashier,Median Base Pay,25935.0,0.032,6,2017
Atlanta,Job Title,2017-06,Financial Analyst,Median Base Pay,63896.0,0.004,6,2017
Atlanta,Job Title,2017-06,Administrative Assistant,Median Base Pay,40235.0,0.011000000000000001,6,2017
