Metro,Dimension Type,Month,Dimension,Measure,Value,YoY,mnth,yr
Washington DC,Job Title,2017-10,Store Manager,Median Base Pay,56719.0,0.035,10,2017
Washington DC,Job Title,2017-10,Business Analyst,Median Base Pay,76013.0,0.019,10,2017
Washington DC,Job Title,2017-10,Cashier,Median Base Pay,28646.0,0.032,10,2017
Washington DC,Job Title,2017-10,Financial Analyst,Median Base Pay,71563.0,0.009000000000000001,10,2017
Washington DC,Job Title,2017-10,Administrative Assistant,Median Base Pay,46602.0,0.004,10,2017
Washington DC,Job Title,2017-10,Accountant,Median Base Pay,64466.0,0.013000000000000001,10,2017
Washington DC,Job Title,2017-10,Sales Representative,Median Base Pay,51523.0,0.034,10,2017
Washington DC,Job Title,2017-10,Professor,Median Base Pay,99981.0,0.013000000000000001,10,2017
Washington DC,Job Title,2017-10,Registered Nurse,Median Base Pay,71903.0,0.016,10,2017
Washington DC,Job Title,2017-10,Marketing Manager,Median Base Pay,76100.0,-0.006,10,2017
Washington DC,Job Title,2017-10,Operations Manager,Median Base Pay,74864.0,0.015,10,2017
Washington DC,Job Title,2017-10,Product Manager,Median Base Pay,103508.0,0.006,10,2017
Washington DC,Job Title,2017-10,Sales Manager,Median Base Pay,68797.0,0.004,10,2017
Washington DC,Job Title,2017-10,Teacher,Median Base Pay,57393.0,0.023,10,2017
Washington DC,Job Title,2017-10,Bank Teller,Median Base Pay,32189.0,0.039,10,2017
Washington DC,Job Title,2017-10,Customer Service Manager,Median Base Pay,55230.0,-0.001,10,2017
Washington DC,Job Title,2017-10,Physical Therapist,Median Base Pay,80033.0,0.005,10,2017
Washington DC,Job Title,2017-10,Mechanical Engineer,Median Base Pay,78363.0,0.017,10,2017
Washington DC,Job Title,2017-10,Recruiter,Median Base Pay,61366.0,0.048,10,2017
Washington DC,Job Title,2017-10,Design Engineer,Median Base Pay,80814.0,0.01,10,2017
Washington DC,Job Title,2017-10,Pharmacy Technician,Median Base Pay,31751.0,0.02,10,2017
Washington DC,Job Title,2017-10,Graphic Designer,Median Base Pay,54719.0,0.006,10,2017
Washington DC,Job Title,2017-10,Web Developer,Median Base Pay,84933.0,0.004,10,2017
Washington DC,Job Title,2017-10,Business Development Manager,Median Base Pay,86126.0,0.034,10,2017
Washington DC,Job Title,2017-10,Data Scientist,Median Base Pay,103970.0,0.005,10,2017
Washington DC,Job Title,2017-10,Buyer,Median Base Pay,61324.0,0.021,10,2017
Washington DC,Job Title,2017-10,Data Analyst,Median Base Pay,70004.0,0.01,10,2017
Washington DC,Job Title,2017-10,Electrical Engineer,Median Base Pay,84654.0,0.003,10,2017
Washington DC,Job Title,2017-10,Attorney,Median Base Pay,129666.0,-0.006,10,2017
Washington DC,Job Title,2017-10,Human Resources Manager,Median Base Pay,81349.0,0.004,10,2017
Washington DC,Job Title,2017-10,Technician,Median Base Pay,50432.0,0.002,10,2017
Washington DC,Job Title,2017-10,Restaurant Cook,Median Base Pay,30882.0,0.043,10,2017
Washington DC,Job Title,2017-10,Production Manager,Median Base Pay,72931.0,0.011000000000000001,10,2017
Washington DC,Job Title,2017-10,Manufacturing Engineer,Median Base Pay,78996.0,0.009000000000000001,10,2017
Washington DC,Job Title,2017-10,Retail Key Holder,Median Base Pay,32108.0,0.006,10,2017
Washington DC,Job Title,2017-10,Paralegal,Median Base Pay,57425.0,0.016,10,2017
Washington DC,Job Title,2017-10,Java Developer,Median Base Pay,81556.0,-0.002,10,2017
Washington DC,Job Title,2017-10,Warehouse Associate,Median Base Pay,41013.0,0.038,10,2017
Washington DC,Job Title,2017-10,Property Manager,Median Base Pay,64283.0,0.015,10,2017
Washington DC,Job Title,2017-10,Producer,Median Base Pay,69507.0,0.01,10,2017
Washington DC,Job Title,2017-10,Quality Engineer,Median Base Pay,77507.0,-0.006999999999999999,10,2017
Washington DC,Job Title,2017-10,Operations Analyst,Median Base Pay,71155.0,0.005,10,2017
Washington DC,Job Title,2017-10,Medical Assistant,Median Base Pay,38633.0,0.004,10,2017
Washington DC,Job Title,2017-10,Tax Manager,Median Base Pay,111438.0,0.008,10,2017
Washington DC,Job Title,2017-10,Technical Editor,Median Base Pay,62828.0,0.011000000000000001,10,2017
Washington DC,Job Title,2017-10,Truck Driver,Median Base Pay,52302.0,0.037000000000000005,10,2017
Washington DC,Job Title,2017-10,Insurance Agent,Median Base Pay,45585.0,0.048,10,2017
Washington DC,Job Title,2017-10,Medical Technologist,Median Base Pay,56888.0,0.023,10,2017
Washington DC,Job Title,2017-10,Field Engineer,Median Base Pay,72355.0,0.017,10,2017
Washington DC,Job Title,2017-10,Machine Operator,Median Base Pay,45243.0,0.001,10,2017
Washington DC,Job Title,2017-10,Communications Manager,Median Base Pay,83490.0,0.016,10,2017
Washington DC,Job Title,2017-10,Construction Laborer,Median Base Pay,41288.0,0.036000000000000004,10,2017
Washington DC,Job Title,2017-10,Emergency Medical Technician,Median Base Pay,42003.0,0.013000000000000001,10,2017
Washington DC,Job Title,2017-10,Web Designer,Median Base Pay,67355.0,0.031,10,2017
Washington DC,Job Title,2017-10,Maintenance Worker,Median Base Pay,42375.0,-0.01,10,2017
Washington DC,Job Title,2017-10,Barista,Median Base Pay,26285.0,0.048,10,2017
Washington DC,Job Title,2017-10,Bartender,Median Base Pay,37510.0,0.006999999999999999,10,2017
Washington DC,Job Title,2017-10,Civil Engineer,Median Base Pay,74958.0,0.008,10,2017
Washington DC,Job Title,2017-10,Claims Adjuster,Median Base Pay,53611.0,0.02,10,2017
Washington DC,Job Title,2017-10,Certified Nursing Assistant,Median Base Pay,32010.0,0.018000000000000002,10,2017
Washington DC,Job Title,2017-10,Customer Service Representative,Median Base Pay,41341.0,0.025,10,2017
Washington DC,Job Title,2017-10,Delivery Driver,Median Base Pay,38949.0,0.027000000000000003,10,2017
Washington DC,Job Title,2017-10,Financial Advisor,Median Base Pay,58441.0,0.034,10,2017
Washington DC,Job Title,2017-10,Licensed Practical Nurse,Median Base Pay,48286.0,0.03,10,2017
Washington DC,Job Title,2017-10,Loan Officer,Median Base Pay,51673.0,0.0,10,2017
Washington DC,Job Title,2017-10,Maintenance Technician,Median Base Pay,48428.0,-0.006,10,2017
Washington DC,Job Title,2017-10,Material Handler,Median Base Pay,38802.0,0.022000000000000002,10,2017
Washington DC,Job Title,2017-10,Network Engineer,Median Base Pay,86608.0,0.002,10,2017
Washington DC,Job Title,2017-10,Office Manager,Median Base Pay,55431.0,0.004,10,2017
Washington DC,Job Title,2017-10,Pharmacist,Median Base Pay,126349.0,0.0,10,2017
Washington DC,Job Title,2017-10,Process Engineer,Median Base Pay,87565.0,0.011000000000000001,10,2017
Washington DC,Job Title,2017-10,Program Manager,Median Base Pay,97122.0,0.003,10,2017
Washington DC,Job Title,2017-10,Research Assistant,Median Base Pay,35794.0,0.011000000000000001,10,2017
Washington DC,Job Title,2017-10,Restaurant Manager,Median Base Pay,58598.0,0.017,10,2017
Washington DC,Job Title,2017-10,Security Officer,Median Base Pay,46302.0,0.024,10,2017
Washington DC,Job Title,2017-10,Server,Median Base Pay,35212.0,0.012,10,2017
Washington DC,Job Title,2017-10,Solutions Architect,Median Base Pay,115697.0,0.016,10,2017
Washington DC,Job Title,2017-10,Systems Engineer,Median Base Pay,90464.0,0.011000000000000001,10,2017
Washington DC,Job Title,2017-10,Technical Support,Median Base Pay,57421.0,0.016,10,2017
Washington DC,Job Title,2017-10,UX Designer,Median Base Pay,88789.0,0.001,10,2017
National,Job Title,2017-11,Software Engineer,Median Base Pay,85618.0,0.017,11,2017
National,Job Title,2017-11,Programmer Analyst,Median Base Pay,65348.0,-0.016,11,2017
National,Job Title,2017-11,Consultant,Median Base Pay,74497.0,-0.003,11,2017
National,Job Title,2017-11,Project Manager,Median Base Pay,72465.0,0.004,11,2017
National,Job Title,2017-11,Store Manager,Median Base Pay,48388.0,0.028999999999999998,11,2017
National,Job Title,2017-11,Business Analyst,Median Base Pay,63997.0,0.024,11,2017
National,Job Title,2017-11,Cashier,Median Base Pay,27620.0,0.035,11,2017
National,Job Title,2017-11,Financial Analyst,Median Base Pay,62162.0,0.018000000000000002,11,2017
National,Job Title,2017-11,Administrative Assistant,Median Base Pay,38611.0,0.006,11,2017
National,Job Title,2017-11,Accountant,Median Base Pay,55386.0,0.01,11,2017
National,Job Title,2017-11,Sales Representative,Median Base Pay,45772.0,0.027999999999999997,11,2017
National,Job Title,2017-11,Professor,Median Base Pay,86849.0,0.001,11,2017
National,Job Title,2017-11,Registered Nurse,Median Base Pay,66930.0,0.018000000000000002,11,2017
National,Job Title,2017-11,Marketing Manager,Median Base Pay,66655.0,0.006,11,2017
National,Job Title,2017-11,Operations Manager,Median Base Pay,65726.0,0.011000000000000001,11,2017
National,Job Title,2017-11,Product Manager,Median Base Pay,89669.0,0.004,11,2017
National,Job Title,2017-11,Sales Manager,Median Base Pay,59468.0,-0.001,11,2017
National,Job Title,2017-11,Teacher,Median Base Pay,45657.0,0.013999999999999999,11,2017
National,Job Title,2017-11,Bank Teller,Median Base Pay,28676.0,0.035,11,2017
National,Job Title,2017-11,Customer Service Manager,Median Base Pay,54680.0,0.016,11,2017
National,Job Title,2017-11,Physical Therapist,Median Base Pay,73010.0,-0.001,11,2017
National,Job Title,2017-11,Mechanical Engineer,Median Base Pay,72652.0,0.009000000000000001,11,2017
National,Job Title,2017-11,Recruiter,Median Base Pay,49942.0,0.025,11,2017
National,Job Title,2017-11,Design Engineer,Median Base Pay,72226.0,0.028999999999999998,11,2017
National,Job Title,2017-11,Pharmacy Technician,Median Base Pay,30213.0,0.024,11,2017
National,Job Title,2017-11,Graphic Designer,Median Base Pay,44446.0,0.015,11,2017
National,Job Title,2017-11,Web Developer,Median Base Pay,64015.0,0.016,11,2017
National,Job Title,2017-11,Business Development Manager,Median Base Pay,68829.0,0.022000000000000002,11,2017
National,Job Title,2017-11,Data Scientist,Median Base Pay,93562.0,-0.004,11,2017
National,Job Title,2017-11,Buyer,Median Base Pay,57020.0,0.021,11,2017
National,Job Title,2017-11,Data Analyst,Median Base Pay,58167.0,0.005,11,2017
National,Job Title,2017-11,Electrical Engineer,Median Base Pay,76287.0,0.006999999999999999,11,2017
National,Job Title,2017-11,Attorney,Median Base Pay,93019.0,0.004,11,2017
National,Job Title,2017-11,Human Resources Manager,Median Base Pay,68029.0,0.013000000000000001,11,2017
National,Job Title,2017-11,Technician,Median Base Pay,44816.0,0.006,11,2017
National,Job Title,2017-11,Restaurant Cook,Median Base Pay,28452.0,0.042,11,2017
National,Job Title,2017-11,Production Manager,Median Base Pay,65994.0,0.001,11,2017
National,Job Title,2017-11,Manufacturing Engineer,Median Base Pay,71681.0,0.013999999999999999,11,2017
National,Job Title,2017-11,Retail Key Holder,Median Base Pay,28693.0,0.006999999999999999,11,2017
National,Job Title,2017-11,Paralegal,Median Base Pay,48452.0,0.03,11,2017
National,Job Title,2017-11,Java Developer,Median Base Pay,71379.0,-0.038,11,2017
National,Job Title,2017-11,Warehouse Associate,Median Base Pay,42282.0,0.039,11,2017
National,Job Title,2017-11,Property Manager,Median Base Pay,48981.0,0.008,11,2017
National,Job Title,2017-11,Producer,Median Base Pay,52335.0,0.011000000000000001,11,2017
National,Job Title,2017-11,Quality Engineer,Median Base Pay,71359.0,-0.004,11,2017
National,Job Title,2017-11,Operations Analyst,Median Base Pay,53541.0,0.005,11,2017
National,Job Title,2017-11,Medical Assistant,Median Base Pay,33746.0,0.011000000000000001,11,2017
National,Job Title,2017-11,Tax Manager,Median Base Pay,93988.0,0.002,11,2017
National,Job Title,2017-11,Technical Editor,Median Base Pay,51288.0,0.012,11,2017
National,Job Title,2017-11,Truck Driver,Median Base Pay,52945.0,0.038,11,2017
National,Job Title,2017-11,Insurance Agent,Median Base Pay,41636.0,0.040999999999999995,11,2017
National,Job Title,2017-11,Medical Technologist,Median Base Pay,54625.0,0.04,11,2017
National,Job Title,2017-11,Field Engineer,Median Base Pay,70999.0,0.022000000000000002,11,2017
National,Job Title,2017-11,Machine Operator,Median Base Pay,38633.0,-0.011000000000000001,11,2017
National,Job Title,2017-11,Communications Manager,Median Base Pay,67913.0,0.013999999999999999,11,2017
National,Job Title,2017-11,Construction Laborer,Median Base Pay,39741.0,0.026000000000000002,11,2017
National,Job Title,2017-11,Emergency Medical Technician,Median Base Pay,34994.0,0.027000000000000003,11,2017
National,Job Title,2017-11,Web Designer,Median Base Pay,52448.0,0.037000000000000005,11,2017
National,Job Title,2017-11,Maintenance Worker,Median Base Pay,39544.0,-0.018000000000000002,11,2017
National,Job Title,2017-11,Barista,Median Base Pay,24563.0,0.038,11,2017
National,Job Title,2017-11,Bartender,Median Base Pay,30822.0,-0.049,11,2017
National,Job Title,2017-11,Civil Engineer,Median Base Pay,65977.0,-0.008,11,2017
National,Job Title,2017-11,Claims Adjuster,Median Base Pay,51176.0,0.013999999999999999,11,2017
National,Job Title,2017-11,Certified Nursing Assistant,Median Base Pay,28493.0,0.016,11,2017
National,Job Title,2017-11,Customer Service Representative,Median Base Pay,35916.0,0.027000000000000003,11,2017
National,Job Title,2017-11,Delivery Driver,Median Base Pay,37907.0,0.03,11,2017
National,Job Title,2017-11,Financial Advisor,Median Base Pay,52787.0,0.025,11,2017
National,Job Title,2017-11,Licensed Practical Nurse,Median Base Pay,41668.0,0.024,11,2017
National,Job Title,2017-11,Loan Officer,Median Base Pay,43456.0,-0.037000000000000005,11,2017
National,Job Title,2017-11,Maintenance Technician,Median Base Pay,44135.0,0.013000000000000001,11,2017
National,Job Title,2017-11,Material Handler,Median Base Pay,35963.0,0.018000000000000002,11,2017
National,Job Title,2017-11,Network Engineer,Median Base Pay,70751.0,0.01,11,2017
National,Job Title,2017-11,Office Manager,Median Base Pay,45006.0,-0.004,11,2017
National,Job Title,2017-11,Pharmacist,Median Base Pay,127682.0,0.009000000000000001,11,2017
National,Job Title,2017-11,Process Engineer,Median Base Pay,76978.0,0.013000000000000001,11,2017
National,Job Title,2017-11,Program Manager,Median Base Pay,73452.0,-0.003,11,2017
National,Job Title,2017-11,Research Assistant,Median Base Pay,30481.0,0.006,11,2017
National,Job Title,2017-11,Restaurant Manager,Median Base Pay,49811.0,0.006999999999999999,11,2017
National,Job Title,2017-11,Security Officer,Median Base Pay,34243.0,0.02,11,2017
National,Job Title,2017-11,Server,Median Base Pay,32553.0,0.019,11,2017
National,Job Title,2017-11,Solutions Architect,Median Base Pay,101469.0,-0.001,11,2017
National,Job Title,2017-11,Systems Engineer,Median Base Pay,78663.0,0.006,11,2017
National,Job Title,2017-11,Technical Support,Median Base Pay,45424.0,0.031,11,2017
National,Job Title,2017-11,UX Designer,Median Base Pay,75698.0,-0.002,11,2017
Atlanta,Job Title,2017-11,Software Engineer,Median Base Pay,84484.0,0.018000000000000002,11,2017
Atlanta,Job Title,2017-11,Programmer Analyst,Median Base Pay,70220.0,-0.013999999999999999,11,2017
Atlanta,Job Title,2017-11,Consultant,Median Base Pay,86070.0,-0.001,11,2017
Atlanta,Job Title,2017-11,Project Manager,Median Base Pay,77346.0,0.006,11,2017
Atlanta,Job Title,2017-11,Store Manager,Median Base Pay,50518.0,0.031,11,2017
Atlanta,Job Title,2017-11,Business Analyst,Median Base Pay,71289.0,0.026000000000000002,11,2017
Atlanta,Job Title,2017-11,Cashier,Median Base Pay,26327.0,0.037000000000000005,11,2017
Atlanta,Job Title,2017-11,Financial Analyst,Median Base Pay,64305.0,0.02,11,2017
Atlanta,Job Title,2017-11,Administrative Assistant,Median Base Pay,40107.0,0.008,11,2017
Atlanta,Job Title,2017-11,Accountant,Median Base Pay,56523.0,0.012,11,2017
Atlanta,Job Title,2017-11,Sales Representative,Median Base Pay,48280.0,0.028999999999999998,11,2017
Atlanta,Job Title,2017-11,Professor,Median Base Pay,89866.0,0.003,11,2017
Atlanta,Job Title,2017-11,Registered Nurse,Median Base Pay,65694.0,0.02,11,2017
Atlanta,Job Title,2017-11,Marketing Manager,Median Base Pay,74634.0,0.008,11,2017
Atlanta,Job Title,2017-11,Operations Manager,Median Base Pay,69201.0,0.013000000000000001,11,2017
Atlanta,Job Title,2017-11,Product Manager,Median Base Pay,95715.0,0.006,11,2017
Atlanta,Job Title,2017-11,Sales Manager,Median Base Pay,63903.0,0.001,11,2017
Atlanta,Job Title,2017-11,Teacher,Median Base Pay,47721.0,0.016,11,2017
Atlanta,Job Title,2017-11,Bank Teller,Median Base Pay,29742.0,0.037000000000000005,11,2017
Atlanta,Job Title,2017-11,Customer Service Manager,Median Base Pay,56278.0,0.018000000000000002,11,2017
Atlanta,Job Title,2017-11,Physical Therapist,Median Base Pay,74648.0,0.001,11,2017
Atlanta,Job Title,2017-11,Mechanical Engineer,Median Base Pay,72656.0,0.01,11,2017
Atlanta,Job Title,2017-11,Recruiter,Median Base Pay,51681.0,0.027000000000000003,11,2017
Atlanta,Job Title,2017-11,Design Engineer,Median Base Pay,73081.0,0.031,11,2017
Atlanta,Job Title,2017-11,Pharmacy Technician,Median Base Pay,28796.0,0.026000000000000002,11,2017
Atlanta,Job Title,2017-11,Graphic Designer,Median Base Pay,50416.0,0.017,11,2017
Atlanta,Job Title,2017-11,Web Developer,Median Base Pay,76099.0,0.018000000000000002,11,2017
Atlanta,Job Title,2017-11,Business Development Manager,Median Base Pay,74522.0,0.024,11,2017
Atlanta,Job Title,2017-11,Data Scientist,Median Base Pay,95226.0,-0.002,11,2017
Atlanta,Job Title,2017-11,Buyer,Median Base Pay,58677.0,0.023,11,2017
Atlanta,Job Title,2017-11,Data Analyst,Median Base Pay,63854.0,0.006999999999999999,11,2017
Atlanta,Job Title,2017-11,Electrical Engineer,Median Base Pay,75698.0,0.009000000000000001,11,2017
Atlanta,Job Title,2017-11,Attorney,Median Base Pay,101158.0,0.006,11,2017
Atlanta,Job Title,2017-11,Human Resources Manager,Median Base Pay,75044.0,0.015,11,2017
Atlanta,Job Title,2017-11,Technician,Median Base Pay,44854.0,0.008,11,2017
Atlanta,Job Title,2017-11,Restaurant Cook,Median Base Pay,26620.0,0.044000000000000004,11,2017
Atlanta,Job Title,2017-11,Production Manager,Median Base Pay,67514.0,0.002,11,2017
Atlanta,Job Title,2017-11,Manufacturing Engineer,Median Base Pay,72587.0,0.016,11,2017
Atlanta,Job Title,2017-11,Retail Key Holder,Median Base Pay,29248.0,0.009000000000000001,11,2017
Atlanta,Job Title,2017-11,Paralegal,Median Base Pay,53312.0,0.032,11,2017
Atlanta,Job Title,2017-11,Java Developer,Median Base Pay,73988.0,-0.036000000000000004,11,2017
Atlanta,Job Title,2017-11,Warehouse Associate,Median Base Pay,40573.0,0.040999999999999995,11,2017
Atlanta,Job Title,2017-11,Property Manager,Median Base Pay,52274.0,0.01,11,2017
Atlanta,Job Title,2017-11,Producer,Median Base Pay,61315.0,0.013000000000000001,11,2017
Atlanta,Job Title,2017-11,Quality Engineer,Median Base Pay,69851.0,-0.002,11,2017
Atlanta,Job Title,2017-11,Operations Analyst,Median Base Pay,56017.0,0.006999999999999999,11,2017
Atlanta,Job Title,2017-11,Medical Assistant,Median Base Pay,34845.0,0.013000000000000001,11,2017
Atlanta,Job Title,2017-11,Tax Manager,Median Base Pay,99613.0,0.004,11,2017
Atlanta,Job Title,2017-11,Technical Editor,Median Base Pay,53061.0,0.013999999999999999,11,2017
Atlanta,Job Title,2017-11,Truck Driver,Median Base Pay,51223.0,0.04,11,2017
Atlanta,Job Title,2017-11,Insurance Agent,Median Base Pay,38985.0,0.043,11,2017
Atlanta,Job Title,2017-11,Medical Technologist,Median Base Pay,57414.0,0.042,11,2017
Atlanta,Job Title,2017-11,Field Engineer,Median Base Pay,67660.0,0.023,11,2017
Atlanta,Job Title,2017-11,Machine Operator,Median Base Pay,36986.0,-0.009000000000000001,11,2017
Atlanta,Job Title,2017-11,Communications Manager,Median Base Pay,72567.0,0.015,11,2017
Atlanta,Job Title,2017-11,Construction Laborer,Median Base Pay,35469.0,0.027999999999999997,11,2017
Atlanta,Job Title,2017-11,Emergency Medical Technician,Median Base Pay,36889.0,0.028999999999999998,11,2017
Atlanta,Job Title,2017-11,Web Designer,Median Base Pay,59754.0,0.039,11,2017
Atlanta,Job Title,2017-11,Maintenance Worker,Median Base Pay,37738.0,-0.016,11,2017
Atlanta,Job Title,2017-11,Barista,Median Base Pay,22766.0,0.04,11,2017
Atlanta,Job Title,2017-11,Bartender,Median Base Pay,32001.0,-0.047,11,2017
Atlanta,Job Title,2017-11,Civil Engineer,Median Base Pay,65915.0,-0.006,11,2017
Atlanta,Job Title,2017-11,Claims Adjuster,Median Base Pay,49475.0,0.016,11,2017
Atlanta,Job Title,2017-11,Certified Nursing Assistant,Median Base Pay,26227.0,0.018000000000000002,11,2017
Atlanta,Job Title,2017-11,Customer Service Representative,Median Base Pay,36937.0,0.028999999999999998,11,2017
Atlanta,Job Title,2017-11,Delivery Driver,Median Base Pay,36326.0,0.032,11,2017
Atlanta,Job Title,2017-11,Financial Advisor,Median Base Pay,49227.0,0.027000000000000003,11,2017
Atlanta,Job Title,2017-11,Licensed Practical Nurse,Median Base Pay,43109.0,0.026000000000000002,11,2017
Atlanta,Job Title,2017-11,Loan Officer,Median Base Pay,40973.0,-0.035,11,2017
Atlanta,Job Title,2017-11,Maintenance Technician,Median Base Pay,46203.0,0.015,11,2017
Atlanta,Job Title,2017-11,Material Handler,Median Base Pay,34905.0,0.02,11,2017
Atlanta,Job Title,2017-11,Network Engineer,Median Base Pay,75407.0,0.012,11,2017
Atlanta,Job Title,2017-11,Office Manager,Median Base Pay,46757.0,-0.002,11,2017
Atlanta,Job Title,2017-11,Pharmacist,Median Base Pay,119031.0,0.011000000000000001,11,2017
Atlanta,Job Title,2017-11,Process Engineer,Median Base Pay,78033.0,0.015,11,2017
Atlanta,Job Title,2017-11,Program Manager,Median Base Pay,80251.0,-0.001,11,2017
Atlanta,Job Title,2017-11,Research Assistant,Median Base Pay,31109.0,0.008,11,2017
Atlanta,Job Title,2017-11,Restaurant Manager,Median Base Pay,51967.0,0.008,11,2017
Atlanta,Job Title,2017-11,Security Officer,Median Base Pay,32168.0,0.022000000000000002,11,2017
Atlanta,Job Title,2017-11,Server,Median Base Pay,31442.0,0.021,11,2017
Atlanta,Job Title,2017-11,Solutions Architect,Median Base Pay,112778.0,0.001,11,2017
Atlanta,Job Title,2017-11,Systems Engineer,Median Base Pay,78377.0,0.008,11,2017
Atlanta,Job Title,2017-11,Technical Support,Median Base Pay,43919.0,0.033,11,2017
Atlanta,Job Title,2017-11,UX Designer,Median Base Pay,82616.0,0.0,11,2017
New York City,Job Title,2017-11,Software Engineer,Median Base Pay,103586.0,0.016,11,2017
New York City,Job Title,2017-11,Programmer Analyst,Median Base Pay,77203.0,-0.016,11,2017
New York City,Job Title,2017-11,Consultant,Median Base Pay,91970.0,-0.004,11,2017
New York City,Job Title,2017-11,Project Manager,Median Base Pay,84705.0,0.003,11,2017
New York City,Job Title,2017-11,Store Manager,Median Base Pay,58127.0,0.028999999999999998,11,2017
New York City,Job Title,2017-11,Business Analyst,Median Base Pay,79717.0,0.023,11,2017
New York City,Job Title,2017-11,Cashier,Median Base Pay,28897.0,0.034,11,2017
New York City,Job Title,2017-11,Financial Analyst,Median Base Pay,75528.0,0.017,11,2017
New York City,Job Title,2017-11,Administrative Assistant,Median Base Pay,47763.0,0.005,11,2017
New York City,Job Title,2017-11,Accountant,Median Base Pay,62661.0,0.009000000000000001,11,2017
New York City,Job Title,2017-11,Sales Representative,Median Base Pay,53592.0,0.027000000000000003,11,2017
New York City,Job Title,2017-11,Professor,Median Base Pay,111902.0,0.001,11,2017
New York City,Job Title,2017-11,Registered Nurse,Median Base Pay,85676.0,0.017,11,2017
New York City,Job Title,2017-11,Marketing Manager,Median Base Pay,83107.0,0.006,11,2017
New York City,Job Title,2017-11,Operations Manager,Median Base Pay,76015.0,0.011000000000000001,11,2017
New York City,Job Title,2017-11,Product Manager,Median Base Pay,105643.0,0.004,11,2017
New York City,Job Title,2017-11,Sales Manager,Median Base Pay,73578.0,-0.002,11,2017
New York City,Job Title,2017-11,Teacher,Median Base Pay,62390.0,0.013000000000000001,11,2017
New York City,Job Title,2017-11,Bank Teller,Median Base Pay,31843.0,0.035,11,2017
New York City,Job Title,2017-11,Customer Service Manager,Median Base Pay,62060.0,0.016,11,2017
New York City,Job Title,2017-11,Physical Therapist,Median Base Pay,78549.0,-0.001,11,2017
New York City,Job Title,2017-11,Mechanical Engineer,Median Base Pay,73198.0,0.008,11,2017
New York City,Job Title,2017-11,Recruiter,Median Base Pay,60369.0,0.024,11,2017
New York City,Job Title,2017-11,Design Engineer,Median Base Pay,80054.0,0.028999999999999998,11,2017
New York City,Job Title,2017-11,Pharmacy Technician,Median Base Pay,29689.0,0.024,11,2017
New York City,Job Title,2017-11,Graphic Designer,Median Base Pay,57549.0,0.015,11,2017
New York City,Job Title,2017-11,Web Developer,Median Base Pay,83629.0,0.015,11,2017
New York City,Job Title,2017-11,Business Development Manager,Median Base Pay,82225.0,0.021,11,2017
New York City,Job Title,2017-11,Data Scientist,Median Base Pay,110997.0,-0.005,11,2017
New York City,Job Title,2017-11,Buyer,Median Base Pay,71421.0,0.02,11,2017
New York City,Job Title,2017-11,Data Analyst,Median Base Pay,69715.0,0.005,11,2017
New York City,Job Title,2017-11,Electrical Engineer,Median Base Pay,77257.0,0.006,11,2017
New York City,Job Title,2017-11,Attorney,Median Base Pay,122367.0,0.003,11,2017
New York City,Job Title,2017-11,Human Resources Manager,Median Base Pay,85981.0,0.012,11,2017
New York City,Job Title,2017-11,Technician,Median Base Pay,50617.0,0.005,11,2017
New York City,Job Title,2017-11,Restaurant Cook,Median Base Pay,31239.0,0.042,11,2017
New York City,Job Title,2017-11,Production Manager,Median Base Pay,76334.0,0.0,11,2017
New York City,Job Title,2017-11,Manufacturing Engineer,Median Base Pay,73748.0,0.013999999999999999,11,2017
New York City,Job Title,2017-11,Retail Key Holder,Median Base Pay,33199.0,0.006,11,2017
New York City,Job Title,2017-11,Paralegal,Median Base Pay,56351.0,0.028999999999999998,11,2017
New York City,Job Title,2017-11,Java Developer,Median Base Pay,79634.0,-0.038,11,2017
New York City,Job Title,2017-11,Warehouse Associate,Median Base Pay,38755.0,0.038,11,2017
New York City,Job Title,2017-11,Property Manager,Median Base Pay,63918.0,0.006999999999999999,11,2017
New York City,Job Title,2017-11,Producer,Median Base Pay,77722.0,0.01,11,2017
New York City,Job Title,2017-11,Quality Engineer,Median Base Pay,76067.0,-0.005,11,2017
New York City,Job Title,2017-11,Operations Analyst,Median Base Pay,70243.0,0.004,11,2017
New York City,Job Title,2017-11,Medical Assistant,Median Base Pay,38349.0,0.01,11,2017
New York City,Job Title,2017-11,Tax Manager,Median Base Pay,119278.0,0.002,11,2017
New York City,Job Title,2017-11,Technical Editor,Median Base Pay,60361.0,0.011000000000000001,11,2017
New York City,Job Title,2017-11,Truck Driver,Median Base Pay,55311.0,0.037000000000000005,11,2017
New York City,Job Title,2017-11,Insurance Agent,Median Base Pay,42103.0,0.040999999999999995,11,2017
New York City,Job Title,2017-11,Medical Technologist,Median Base Pay,62516.0,0.039,11,2017
New York City,Job Title,2017-11,Field Engineer,Median Base Pay,76621.0,0.021,11,2017
New York City,Job Title,2017-11,Machine Operator,Median Base Pay,38590.0,-0.012,11,2017
New York City,Job Title,2017-11,Communications Manager,Median Base Pay,82964.0,0.013000000000000001,11,2017
New York City,Job Title,2017-11,Construction Laborer,Median Base Pay,45906.0,0.026000000000000002,11,2017
New York City,Job Title,2017-11,Emergency Medical Technician,Median Base Pay,38232.0,0.027000000000000003,11,2017
New York City,Job Title,2017-11,Web Designer,Median Base Pay,66968.0,0.037000000000000005,11,2017
New York City,Job Title,2017-11,Maintenance Worker,Median Base Pay,38937.0,-0.018000000000000002,11,2017
